xgboost_weight,catboost_weight,rmse,r2
0.05,0.95,50.38020447710855,0.19924549902088473
0.1,0.9,50.269211773466814,0.20276989930522782
0.15,0.85,50.17193005222301,0.20585253657014146
0.2,0.8,50.088439293098915,0.20849340793061277
0.25,0.75,50.01880843382006,0.2106925172186418
0.3,0.7,49.96309548424466,0.21244986246547548
0.35,0.65,49.92134715454011,0.213765440131374
0.4,0.6,49.89359827084201,0.21463925740817869
0.45,0.55,49.87987239491234,0.21507130808056785
0.5,0.5,49.880180851931414,0.21506160005600805
0.55,0.45,49.8945235307588,0.21461012863902285
0.6,0.4,49.92288856818987,0.213716886498045
0.65,0.35,49.965251861042155,0.2123818806290898
0.7,0.3,50.021577857962235,0.21060511058974785
0.75,0.25,50.091819153473175,0.208386585994772
0.8,0.2,50.1759179889322,0.20572628527049353
0.85,0.15,50.27380380337341,0.20262424069848983
0.9,0.1,50.38539790703249,0.19908039938393074
0.95,0.05,50.51060780077919,0.19509481363358583
