xgboost_weight,catboost_weight,roc_auc,auprc
0.05,0.95,0.7887014945838475,0.7746842077664514
0.1,0.9,0.7907354083824671,0.7769855252260963
0.15,0.85,0.7926169690875572,0.7784727114046573
0.2,0.8,0.7943385590444414,0.7798634242677307
0.25,0.75,0.7963191492603258,0.7815519893786387
0.3,0.7,0.7977817389582095,0.783099925124595
0.35,0.65,0.7988710635769459,0.7846921498799694
0.4,0.6,0.8002650943827414,0.786061674602071
0.45,0.55,0.8010954187424775,0.7878441995534468
0.5,0.5,0.8023066258360375,0.789063604411302
0.55,0.45,0.803060773649009,0.7898724330987181
0.6,0.4,0.8032283620518914,0.7902210510658234
0.65,0.35,0.8037844508432744,0.7914764167251953
0.7,0.3,0.8040358334475981,0.7915309447013286
0.75,0.25,0.8041424806130688,0.7919915650080633
0.8,0.2,0.8040967746850101,0.7922124738404404
0.85,0.15,0.8043786279080396,0.7927734223328402
0.9,0.1,0.8035406858936271,0.7922552203875114
0.95,0.05,0.8032969209439798,0.7922305703308734
